date,req_res
2012-11-01,419.5
2012-11-05,419.5
2012-11-10,419.5
2012-11-15,419.5
2012-11-20,419.5
2012-11-25,419.5
2012-11-28,419.5
2012-12-01,425.6
2012-12-05,425.6
2012-12-10,425.6
2012-12-15,425.6
2012-12-20,425.6
2012-12-25,425.6
2012-12-28,425.6
2013-01-01,441.0
2013-01-05,441.0
2013-01-10,441.0
2013-01-15,441.0
2013-01-20,441.0
2013-01-25,441.0
2013-01-28,441.0
2013-02-01,446.7
2013-02-05,446.7
2013-02-10,446.7
2013-02-15,446.7
2013-02-20,446.7
2013-02-25,446.7
2013-02-28,446.7
2013-03-01,449.5
2013-03-05,449.5
2013-03-10,449.5
2013-03-15,449.5
2013-03-20,449.5
2013-03-25,449.5
2013-03-28,449.5
2013-04-01,473.6
2013-04-05,473.6
2013-04-10,473.6
2013-04-15,473.6
2013-04-20,473.6
2013-04-25,473.6
2013-04-28,473.6
2013-05-01,487.0
2013-05-05,487.0
2013-05-10,487.0
2013-05-15,487.0
2013-05-20,487.0
2013-05-25,487.0
2013-05-28,487.0
2013-06-01,497.7
2013-06-05,497.7
2013-06-10,497.7
2013-06-15,497.7
2013-06-20,497.7
2013-06-25,497.7
2013-06-28,497.7
2013-07-01,507.5
2013-07-05,507.5
2013-07-10,507.5
2013-07-15,507.5
2013-07-20,507.5
2013-07-25,507.5
2013-07-28,507.5
2013-08-01,501.6
2013-08-05,501.6
2013-08-10,501.6
2013-08-15,501.6
2013-08-20,501.6
2013-08-25,501.6
2013-08-28,501.6
2013-09-01,506.1
2013-09-05,506.1
2013-09-10,506.1
2013-09-15,506.1
2013-09-20,506.1
2013-09-25,506.1
2013-09-28,506.1
2013-10-01,507.7
2013-10-05,507.7
2013-10-10,507.7
2013-10-15,507.7
2013-10-20,507.7
2013-10-25,507.7
2013-10-28,507.7
2013-11-01,506.4
2013-11-05,506.4
2013-11-10,506.4
2013-11-15,506.4
2013-11-20,506.4
2013-11-25,506.4
2013-11-28,506.4
2013-12-01,402.3
2013-12-05,402.3
2013-12-10,402.3
2013-12-15,402.3
2013-12-20,402.3
2013-12-25,402.3
2013-12-28,402.3
2014-01-01,404.8
2014-01-05,404.8
2014-01-10,404.8
2014-01-15,404.8
2014-01-20,404.8
2014-01-25,404.8
2014-01-28,404.8
2014-02-01,412.3
2014-02-05,412.3
2014-02-10,412.3
2014-02-15,412.3
2014-02-20,412.3
2014-02-25,412.3
2014-02-28,412.3
2014-03-01,439.9
2014-03-05,439.9
2014-03-10,439.9
2014-03-15,439.9
2014-03-20,439.9
2014-03-25,439.9
2014-03-28,439.9
2014-04-01,430.1
2014-04-05,430.1
2014-04-10,430.1
2014-04-15,430.1
2014-04-20,430.1
2014-04-25,430.1
2014-04-28,430.1
2014-05-01,430.3
2014-05-05,430.3
2014-05-10,430.3
2014-05-15,430.3
2014-05-20,430.3
2014-05-25,430.3
2014-05-28,430.3
2014-06-01,427.8
2014-06-05,427.8
2014-06-10,427.8
2014-06-15,427.8
2014-06-20,427.8
2014-06-25,427.8
2014-06-28,427.8
2014-07-01,428.6
2014-07-05,428.6
2014-07-10,428.6
2014-07-15,428.6
2014-07-20,428.6
2014-07-25,428.6
2014-07-28,428.6
2014-08-01,446.6
2014-08-05,446.6
2014-08-10,446.6
2014-08-15,446.6
2014-08-20,446.6
2014-08-25,446.6
2014-08-28,446.6
2014-09-01,427.1
2014-09-05,427.1
2014-09-10,427.1
2014-09-15,427.1
2014-09-20,427.1
2014-09-25,427.1
2014-09-28,427.1
2014-10-01,432.7
2014-10-05,432.7
2014-10-10,432.7
2014-10-15,432.7
2014-10-20,432.7
2014-10-25,432.7
2014-10-28,432.7
2014-11-01,451.9
2014-11-05,451.9
2014-11-10,451.9
2014-11-15,451.9
2014-11-20,451.9
2014-11-25,451.9
2014-11-28,451.9
2014-12-01,470.8
2014-12-05,470.8
2014-12-10,470.8
2014-12-15,470.8
2014-12-20,470.8
2014-12-25,470.8
2014-12-28,470.8
2015-01-01,496.7
2015-01-05,496.7
2015-01-10,496.7
2015-01-15,496.7
2015-01-20,496.7
2015-01-25,496.7
2015-01-28,496.7
2015-02-01,491.7
2015-02-05,491.7
2015-02-10,491.7
2015-02-15,491.7
2015-02-20,491.7
2015-02-25,491.7
2015-02-28,491.7
2015-03-01,504.2
2015-03-05,504.2
2015-03-10,504.2
2015-03-15,504.2
2015-03-20,504.2
2015-03-25,504.2
2015-03-28,504.2
2015-04-01,483.5
2015-04-05,483.5
2015-04-10,483.5
2015-04-15,483.5
2015-04-20,483.5
2015-04-25,483.5
2015-04-28,483.5
2015-05-01,457.5
2015-05-05,457.5
2015-05-10,457.5
2015-05-15,457.5
2015-05-20,457.5
2015-05-25,457.5
2015-05-28,457.5
2015-06-01,463.8
2015-06-05,463.8
2015-06-10,463.8
2015-06-15,463.8
2015-06-20,463.8
2015-06-25,463.8
2015-06-28,463.8
2015-07-01,475.4
2015-07-05,475.4
2015-07-10,475.4
2015-07-15,475.4
2015-07-20,475.4
2015-07-25,475.4
2015-07-28,475.4
2015-08-01,486.5
2015-08-05,486.5
2015-08-10,486.5
2015-08-15,486.5
2015-08-20,486.5
2015-08-25,486.5
2015-08-28,486.5
2015-09-01,361.2
2015-09-05,361.2
2015-09-10,361.2
2015-09-15,361.2
2015-09-20,361.2
2015-09-25,361.2
2015-09-28,361.2
2015-10-01,365.3
2015-10-05,365.3
2015-10-10,365.3
2015-10-15,365.3
2015-10-20,365.3
2015-10-25,365.3
2015-10-28,365.3
2015-11-01,356.9
2015-11-05,356.9
2015-11-10,356.9
2015-11-15,356.9
2015-11-20,356.9
2015-11-25,356.9
2015-11-28,356.9
2015-12-01,363.4
2015-12-05,363.4
2015-12-10,363.4
2015-12-15,363.4
2015-12-20,363.4
2015-12-25,363.4
2015-12-28,363.4
2016-01-01,382.3
2016-01-05,382.3
2016-01-10,382.3
2016-01-15,382.3
2016-01-20,382.3
2016-01-25,382.3
2016-01-28,382.3
2016-02-01,386.3
2016-02-05,386.3
2016-02-10,386.3
2016-02-15,386.3
2016-02-20,386.3
2016-02-25,386.3
2016-02-28,386.3
2016-03-01,391.1
2016-03-05,391.1
2016-03-10,391.1
2016-03-15,391.1
2016-03-20,391.1
2016-03-25,391.1
2016-03-28,391.1
2016-04-01,375.3
2016-04-05,375.3
2016-04-10,375.3
2016-04-15,375.3
2016-04-20,375.3
2016-04-25,375.3
2016-04-28,375.3
2016-05-01,394.1
2016-05-05,394.1
2016-05-10,394.1
2016-05-15,394.1
2016-05-20,394.1
2016-05-25,394.1
2016-05-28,394.1
2016-06-01,391.5
2016-06-05,391.5
2016-06-10,391.5
2016-06-15,391.5
2016-06-20,391.5
2016-06-25,391.5
2016-06-28,391.5
2016-07-01,391.4
2016-07-05,391.4
2016-07-10,391.4
2016-07-15,391.4
2016-07-20,391.4
2016-07-25,391.4
2016-07-28,391.4
2016-08-01,413.8
2016-08-05,413.8
2016-08-10,413.8
2016-08-15,413.8
2016-08-20,413.8
2016-08-25,413.8
2016-08-28,413.8
2016-09-01,477.6
2016-09-05,477.6
2016-09-10,477.6
2016-09-15,477.6
2016-09-20,477.6
2016-09-25,477.6
2016-09-28,477.6
2016-10-01,476.7
2016-10-05,476.7
2016-10-10,476.7
2016-10-15,476.7
2016-10-20,476.7
2016-10-25,476.7
2016-10-28,476.7
2016-11-01,475.2
2016-11-05,475.2
2016-11-10,475.2
2016-11-15,475.2
2016-11-20,475.2
2016-11-25,475.2
2016-11-28,475.2
2016-12-01,481.9
2016-12-05,481.9
2016-12-10,481.9
2016-12-15,481.9
2016-12-20,481.9
2016-12-25,481.9
2016-12-28,481.9
2017-01-01,478.2
2017-01-05,478.2
2017-01-10,478.2
2017-01-15,478.2
2017-01-20,478.2
2017-01-25,478.2
2017-01-28,478.2
2017-02-01,514.6
2017-02-05,514.6
2017-02-10,514.6
2017-02-15,514.6
2017-02-20,514.6
2017-02-25,514.6
2017-02-28,514.6
2017-03-01,507.5
2017-03-05,507.5
2017-03-10,507.5
2017-03-15,507.5
2017-03-20,507.5
2017-03-25,507.5
2017-03-28,507.5
2017-04-01,504.9
2017-04-05,504.9
2017-04-10,504.9
2017-04-15,504.9
2017-04-20,504.9
2017-04-25,504.9
2017-04-28,504.9
2017-05-01,501.0
2017-05-05,501.0
2017-05-10,501.0
2017-05-15,501.0
2017-05-20,501.0
2017-05-25,501.0
2017-05-28,501.0
2017-06-01,506.5
2017-06-05,506.5
2017-06-10,506.5
2017-06-15,506.5
2017-06-20,506.5
2017-06-25,506.5
2017-06-28,506.5
2017-07-01,504.3
2017-07-05,504.3
2017-07-10,504.3
2017-07-15,504.3
2017-07-20,504.3
2017-07-25,504.3
2017-07-28,504.3
2017-08-01,508.9
2017-08-05,508.9
2017-08-10,508.9
2017-08-15,508.9
2017-08-20,508.9
2017-08-25,508.9
2017-08-28,508.9
2017-09-01,505.9
2017-09-05,505.9
2017-09-10,505.9
2017-09-15,505.9
2017-09-20,505.9
2017-09-25,505.9
2017-09-28,505.9
2017-10-01,497.0
2017-10-05,497.0
2017-10-10,497.0
2017-10-15,497.0
2017-10-20,497.0
2017-10-25,497.0
2017-10-28,497.0
2017-11-01,497.5
2017-11-05,497.5
2017-11-10,497.5
2017-11-15,497.5
2017-11-20,497.5
2017-11-25,497.5
2017-11-28,497.5
2017-12-01,506.2
2017-12-05,506.2
2017-12-10,506.2
2017-12-15,506.2
2017-12-20,506.2
2017-12-25,506.2
2017-12-28,506.2
2018-01-01,506.2
2018-01-05,506.2
2018-01-10,506.2
2018-01-15,506.2
2018-01-20,506.2
2018-01-25,506.2
2018-01-28,506.2
2018-02-01,506.4
2018-02-05,506.4
2018-02-10,506.4
2018-02-15,506.4
2018-02-20,506.4
2018-02-25,506.4
2018-02-28,506.4
2018-03-01,507.3
2018-03-05,507.3
2018-03-10,507.3
2018-03-15,507.3
2018-03-20,507.3
2018-03-25,507.3
2018-03-28,507.3
2018-04-01,508.5
2018-04-05,508.5
2018-04-10,508.5
2018-04-15,508.5
2018-04-20,508.5
2018-04-25,508.5
2018-04-28,508.5
2018-05-01,521.9
2018-05-05,521.9
2018-05-10,521.9
2018-05-15,521.9
2018-05-20,521.9
2018-05-25,521.9
2018-05-28,521.9
2018-06-01,527.7
2018-06-05,527.7
2018-06-10,527.7
2018-06-15,527.7
2018-06-20,527.7
2018-06-25,527.7
2018-06-28,527.7
2018-07-01,531.3
2018-07-05,531.3
2018-07-10,531.3
2018-07-15,531.3
2018-07-20,531.3
2018-07-25,531.3
2018-07-28,531.3
2018-08-01,527.1
2018-08-05,527.1
2018-08-10,527.1
2018-08-15,527.1
2018-08-20,527.1
2018-08-25,527.1
2018-08-28,527.1
2018-09-01,563.6
2018-09-05,563.6
2018-09-10,563.6
2018-09-15,563.6
2018-09-20,563.6
2018-09-25,563.6
2018-09-28,563.6
2018-10-01,570.1
2018-10-05,570.1
2018-10-10,570.1
2018-10-15,570.1
2018-10-20,570.1
2018-10-25,570.1
2018-10-28,570.1
2018-11-01,569.2
2018-11-05,569.2
2018-11-10,569.2
2018-11-15,569.2
2018-11-20,569.2
2018-11-25,569.2
2018-11-28,569.2
2018-12-01,575.3
2018-12-05,575.3
2018-12-10,575.3
2018-12-15,575.3
2018-12-20,575.3
2018-12-25,575.3
2018-12-28,575.3
2019-01-01,586.3
2019-01-05,586.3
2019-01-10,586.3
2019-01-15,586.3
2019-01-20,586.3
2019-01-25,586.3
2019-01-28,586.3
2019-02-01,588.4
2019-02-05,588.4
2019-02-10,588.4
2019-02-15,588.4
2019-02-20,588.4
2019-02-25,588.4
2019-02-28,588.4
2019-03-01,587.2
2019-03-05,587.2
2019-03-10,587.2
2019-03-15,587.2
2019-03-20,587.2
2019-03-25,587.2
2019-03-28,587.2
2019-04-01,588.9
2019-04-05,588.9
2019-04-10,588.9
2019-04-15,588.9
2019-04-20,588.9
2019-04-25,588.9
2019-04-28,588.9
2019-05-01,593.9
2019-05-05,593.9
2019-05-10,593.9
2019-05-15,593.9
2019-05-20,593.9
2019-05-25,593.9
2019-05-28,593.9
2019-06-01,595.9
2019-06-05,595.9
2019-06-10,595.9
2019-06-15,595.9
2019-06-20,595.9
2019-06-25,595.9
2019-06-28,595.9
2019-07-01,596.7
2019-07-05,596.7
2019-07-10,596.7
2019-07-15,596.7
2019-07-20,596.7
2019-07-25,596.7
2019-07-28,596.7
2019-08-01,603.8
2019-08-05,603.8
2019-08-10,603.8
2019-08-15,603.8
2019-08-20,603.8
2019-08-25,603.8
2019-08-28,603.8
2019-09-01,620.1
2019-09-05,620.1
2019-09-10,620.1
2019-09-15,620.1
2019-09-20,620.1
2019-09-25,620.1
2019-09-28,620.1
2019-10-01,618.9
2019-10-05,618.9
2019-10-10,618.9
2019-10-15,618.9
2019-10-20,618.9
2019-10-25,618.9
2019-10-28,618.9
2019-11-01,619.4
2019-11-05,619.4
2019-11-10,619.4
2019-11-15,619.4
2019-11-20,619.4
2019-11-25,619.4
2019-11-28,619.4
2019-12-01,617.4
2019-12-05,617.4
2019-12-10,617.4
2019-12-15,617.4
2019-12-20,617.4
2019-12-25,617.4
2019-12-28,617.4
2020-01-01,617.6
2020-01-05,617.6
2020-01-10,617.6
2020-01-15,617.6
2020-01-20,617.6
2020-01-25,617.6
2020-01-28,617.6
2020-02-01,612.7
2020-02-05,612.7
2020-02-10,612.7
2020-02-15,612.7
2020-02-20,612.7
2020-02-25,612.7
2020-02-28,612.7
2020-03-01,622.0
2020-03-05,622.0
2020-03-10,622.0
2020-03-15,622.0
2020-03-20,622.0
2020-03-25,622.0
2020-03-28,622.0
2020-04-01,664.8
2020-04-05,664.8
2020-04-10,664.8
2020-04-15,664.8
2020-04-20,664.8
2020-04-25,664.8
2020-04-28,664.8
2020-05-01,671.3
2020-05-05,671.3
2020-05-10,671.3
2020-05-15,671.3
2020-05-20,671.3
2020-05-25,671.3
2020-05-28,671.3
2020-06-01,656.3
